Season	Episodes	First	Last	Rank	Viewers
1	7	January 31, 1999	May 16, 1999	33	12.80[18]
2	21	September 23, 1999	August 1, 2000	114	6.32[citation needed]
3	22	July 11, 2001	November 9, 2003	125	4.50[19]
4	30	May 1, 2005	May 21, 2006	68	7.90[20]
5	18	September 10, 2006	May 20, 2007	71	7.20[21]
6	12	September 23, 2007	May 4, 2008	84	7.94[22]
7	16	September 28, 2008	May 17, 2009	69	7.56[23]
8	21	September 27, 2009	June 20, 2010	53	7.73[24]
9	18	September 26, 2010	May 22, 2011	56	7.66[25]
10	23	September 25, 2011	May 20, 2012	63	7.30[26]
11	22	September 30, 2012	May 19, 2013	62	6.94[27]
12	21	September 29, 2013	May 18, 2014	78	6.11[28]
13	18	September 28, 2014	May 17, 2015	94	5.86[29]
14	20	September 27, 2015	May 22, 2016	111	4.28[30]
15	20	September 25, 2016	May 21, 2017	116	3.93[31]
16	20	October 1, 2017	May 20, 2018	136	3.52[32]
17	20	September 30, 2018	May 12, 2019	131	3.33[33]
18	20	September 29, 2019	May 17, 2020	107	2.65[34]
19	20	September 27, 2020	May 16, 2021	120	2.19[35]
