Season	Episodes	First	Last
1	13	December 17, 1989	May 13, 1990
2	22	October 11, 1990	July 11, 1991
3	24	September 19, 1991	August 27, 1992
4	22	September 24, 1992	May 13, 1993
5	22	September 30, 1993	May 19, 1994
6	25	September 4, 1994	May 21, 1995
7	25	September 17, 1995	May 19, 1996
8	25	October 27, 1996	May 18, 1997
9	25	September 21, 1997	May 17, 1998
10	23	August 23, 1998	May 16, 1999
11	22	September 26, 1999	May 21, 2000
12	21	November 1, 2000	May 20, 2001
13	22	November 6, 2001	May 22, 2002
14	22	November 3, 2002	May 18, 2003
15	22	November 2, 2003	May 23, 2004
16	21	November 7, 2004	May 15, 2005
17	22	September 11, 2005	May 21, 2006
18	22	September 10, 2006	May 20, 2007
19	20	September 23, 2007	May 18, 2008
20	21	September 28, 2008	May 17, 2009
21	23	September 27, 2009	May 23, 2010
22	22	September 26, 2010	May 22, 2011
23	22	September 25, 2011	May 20, 2012
24	22	September 30, 2012	May 19, 2013
25	22	September 29, 2013	May 18, 2014
26	22	September 28, 2014	May 17, 2015
27	22	September 27, 2015	May 22, 2016
28	21	September 25, 2016	May 21, 2017
29	21	October 1, 2017	May 20, 2018
30	23	September 30, 2018	May 12, 2019
31	22	September 29, 2019	May 17, 2020
32	22	September 27, 2020	May 23, 2021
