Season	Episodes	First	Last
1	7	August 4, 2005	September 15, 2005
2	10	June 29, 2006	August 17, 2006
3	15	September 13, 2007	November 15, 2007
4	13	September 18, 2008	November 20, 2008
5	12	September 17, 2009	December 10, 2009
6	13	September 16, 2010	December 16, 2010
7	13	September 15, 2011	December 15, 2011
8	10	October 11, 2012	December 20, 2012
9	10	September 4, 2013	November 6, 2013
10	10	January 14, 2015	March 18, 2015
11	10	January 6, 2016	March 9, 2016
12	10	January 4, 2017	March 8, 2017
13	10	September 5, 2018	November 7, 2018
14	10	September 25, 2019	November 20, 2019
